Source,Target,Amount,LND1
7975,316,4537,"[[7975, 7976, 6562, 29, 316], np.float64(2.01815), np.int64(160), 5, 'Success']"
2318,6427,75339,"[[2318, 21, 6400, 71, 6427], np.float64(7.549340000000001), np.int64(160), 5, 'Failure']"
8406,3964,162404,"[[8406, 314, 1358, 3964], np.float64(17.2424), np.int64(224), 4, 'Failure']"
2593,7205,1066837,"[[2593, 3402, 6587, 6628, 7205], np.float64(902.52804), np.int64(148), 5, 'Failure']"
1877,796,63723029,"[[1877, 321, 2359, 796], np.float64(384.3385), np.int64(114), 4, 'Failure']"
12049,11154,4,"[[12049, 3017, 233, 3642, 11057, 11154], np.float64(0.00114), np.int64(298), 6, 'Success']"
6945,10279,50,"[[6945, 2626, 1139, 2375, 6741, 10279], np.float64(1.16755), np.int64(200), 6, 'Success']"
12326,9963,928,"[[12326, 91, 175, 64, 9963], np.float64(19.85473), np.int64(288), 5, 'Success']"
130,296,6041,"[[130, 445, 32, 296], np.float64(5.02051), np.int64(224), 4, 'Success']"
4793,2938,38180,"[[4793, 1369, 182, 2938], np.float64(2.07636), np.int64(120), 4, 'Failure']"
6459,3932,151310,"[[6459, 6000, 612, 3932], np.float64(8.414250000000001), np.int64(120), 4, 'Failure']"
652,8276,9200003,"[[652, 445, 67, 8276], np.float64(2043.2026999999998), np.int64(120), 4, 'Failure']"
869,796,66752472,"[[869, 64, 177, 796], np.float64(3673.63596), np.int64(92), 4, 'Failure']"
11837,3134,2,"[[11837, 3134], 0, np.int64(40), 2, 'Success']"
331,8982,53,"[[331, 149, 6020, 8768, 8982], np.float64(0.00105), np.int64(748), 5, 'Success']"
120,7206,362,"[[120, 218, 36, 6274, 7206], np.float64(0.00181), np.int64(400), 5, 'Success']"
