Source,Target,Amount,LND1
4360,6150,5,"[[4360, 855, 12325, 6134, 4863, 439, 6150], np.float64(4.00243), np.int64(234), 7, 'Success']"
92,1347,66,"[[92, 619, 12325, 26, 1347], np.float64(0.05433), np.int64(148), 5, 'Success']"
5334,2803,648,"[[5334, 4822, 21, 2803], np.float64(2.9476500000000003), np.int64(224), 4, 'Success']"
5187,2878,2260,"[[5187, 4822, 10113, 12325, 244, 2878], np.float64(34.86627), np.int64(402), 6, 'Success']"
10576,663,20019,"[[10576, 10294, 2223, 167, 7042, 2232, 1139, 663], np.float64(121.32128), np.int64(374), 8, 'Success']"
477,3270,848583,"[[477, 2877, 233, 1067, 12445, 3270], np.float64(1287.8493700000001), np.int64(300), 6, 'Failure']"
667,3371,1653210,"[[667, 48, 3371], np.float64(165.321), np.int64(80), 3, 'Failure']"
715,203,11746215,"[[715, 10484, 445, 18, 2189, 203], np.float64(3187.50986), np.int64(298), 6, 'Failure']"
5641,3225,2,"[[5641, 5640, 5142, 996, 3093, 12325, 5965, 3083, 3225], np.float64(2.00073), np.int64(418), 9, 'Success']"
4063,10383,41,"[[4063, 3083, 7218, 10294, 10383], np.float64(0.0), np.int64(472), 5, 'Success']"
2301,10622,318,"[[2301, 577, 220, 167, 6702, 1283, 10622], np.float64(5.54659), np.int64(224), 7, 'Success']"
7921,13004,3383,"[[7921, 18, 11837, 398, 13004], np.float64(2.00676), np.int64(138), 5, 'Success']"
9582,115,30148,"[[9582, 466, 167, 11844, 115], np.float64(3.82881), np.int64(144), 5, 'Failure']"
9311,3087,695223,"[[9311, 11188, 12768, 10113, 2701, 320, 3518, 3087], np.float64(65.96221), np.int64(280), 8, 'Failure']"
623,969,2337973,"[[623, 5144, 12325, 137, 969], np.float64(2004.09771), np.int64(160), 5, 'Success']"
88,5798,10370683,"[[88, 173, 141, 5798], np.float64(572.63756), np.int64(76), 4, 'Success']"
10497,3982,7,"[[10497, 21, 6463, 167, 2584, 3982], np.float64(2.0070300000000003), np.int64(194), 6, 'Success']"
8350,6996,58,"[[8350, 3819, 6669, 12325, 10113, 12768, 12972, 3422, 3338, 6597, 6996], np.float64(1.0867900000000001), np.int64(388), 11, 'Success']"
12576,8899,908,"[[12576, 1369, 10113, 8768, 8899], np.float64(1.00091), np.int64(264), 5, 'Success']"
9740,10267,7226,"[[9740, 148, 8348, 8301, 7218, 10267], np.float64(6.3549299999999995), np.int64(304), 6, 'Success']"
4027,6053,35283,"[[4027, 177, 12325, 84, 6053], np.float64(5.2259), np.int64(154), 5, 'Failure']"
8509,4760,108082,"[[8509, 383, 12325, 6615, 5355, 4760], np.float64(18.7601), np.int64(194), 6, 'Failure']"
1566,116,5005241,"[[1566, 2706, 321, 116], np.float64(752.81123), np.int64(214), 4, 'Failure']"
570,78,49538601,"[[570, 60, 175, 78], np.float64(0.0), np.int64(56), 4, 'Failure']"
9471,11102,2,"[[9471, 609, 36, 3642, 11057, 11102], np.float64(0.00935), np.int64(336), 6, 'Success']"
12788,5705,71,"[[12788, 12768, 10113, 4822, 5705], np.float64(0.0), np.int64(264), 5, 'Success']"
4547,9827,661,"[[4547, 3083, 6785, 4090, 2734, 9827], np.float64(4.676740000000001), np.int64(408), 6, 'Success']"
4817,5706,1541,"[[4817, 21, 4822, 5706], np.float64(1.00154), np.int64(224), 4, 'Success']"
3757,8405,97628,"[[3757, 18, 351, 167, 3642, 9689, 6790, 8232, 8405], np.float64(135.25666), np.int64(304), 9, 'Failure']"
1802,8546,119593,"[[1802, 32, 454, 8546], np.float64(61.79706), np.int64(224), 4, 'Failure']"
10345,2854,8951811,"[[10345, 12325, 3778, 5855, 2854], np.float64(1389.5374199999999), np.int64(154), 5, 'Failure']"
9510,11356,44701617,"[[9510, 177, 57, 167, 3642, 3292, 11356], np.float64(29063.73336), np.int64(188), 7, 'Failure']"
10831,7081,7,"[[10831, 3083, 6274, 7081], np.float64(0.0), np.int64(328), 4, 'Success']"
10290,2575,59,"[[10290, 67, 62, 19, 609, 2575], np.float64(2.25331), np.int64(156), 6, 'Success']"
11464,1456,489,"[[11464, 609, 9515, 21, 1368, 1456], np.float64(7.24395), np.int64(194), 6, 'Success']"
7641,5216,6713,"[[7641, 21, 19, 609, 5216], np.float64(1.67801), np.int64(242), 5, 'Success']"
12666,12308,77981,"[[12666, 9367, 11314, 12163, 1806, 1566, 1573, 12325, 6760, 12308], np.float64(9.35789), np.int64(344), 10, 'Failure']"
8847,5996,108933,"[[8847, 18, 23, 2, 107, 6059, 5996], np.float64(1324848.7590900003), np.int64(316), 7, 'Failure']"
9565,10111,5112124,"[[9565, 321, 5307, 131, 2154, 865, 10111], np.float64(535.76327), np.int64(240), 7, 'Failure']"
613,36,27207300,"[[613, 56, 177, 62, 36], np.float64(1498.6515), np.int64(116), 5, 'Success']"
5370,8939,5,"[[5370, 3349, 609, 8688, 8768, 8939], np.float64(0.0034400000000000003), np.int64(304), 6, 'Success']"
2951,10312,12,"[[2951, 609, 6010, 600, 1236, 547, 12445, 10312], np.float64(0.19428), np.int64(662), 8, 'Success']"
8189,10145,390,"[[8189, 285, 12325, 11837, 308, 1067, 10145], np.float64(25.59767), np.int64(316), 7, 'Failure']"
6051,156,8789,"[[6051, 2854, 5043, 12277, 333, 156], np.float64(8.9883), np.int64(304), 6, 'Success']"
1234,9998,24288,"[[1234, 2562, 9998], np.float64(3.46738), np.int64(184), 3, 'Success']"
8341,8339,143468,"[[8341, 6335, 3868, 8339], np.float64(56.09667), np.int64(120), 4, 'Failure']"
12823,307,1693148,"[[12823, 149, 11837, 308, 506, 9756, 307], np.float64(19.101499999999998), np.int64(212), 7, 'Failure']"
148,445,30142716,"[[148, 445], 0, np.int64(40), 2, 'Failure']"
11292,6928,5,"[[11292, 173, 6928], np.float64(2.25027), np.int64(80), 3, 'Success']"
9552,3410,67,"[[9552, 32, 468, 10, 3410], np.float64(2.14809), np.int64(264), 5, 'Success']"
5515,9159,900,"[[5515, 4822, 7218, 8768, 9159], np.float64(0.0), np.int64(472), 5, 'Success']"
9265,4002,9758,"[[9265, 855, 4002], np.float64(1.9516), np.int64(80), 3, 'Success']"
8664,11657,71836,"[[8664, 32, 6010, 600, 750, 11657], np.float64(266.01415), np.int64(304), 6, 'Failure']"
6347,603,750432,"[[6347, 855, 12325, 3019, 131, 2169, 603], np.float64(251.64999), np.int64(218), 7, 'Failure']"
5751,10345,1463884,"[[5751, 55, 62, 19, 609, 10345], np.float64(229.16007), np.int64(156), 6, 'Failure']"
222,3846,13513240,"[[222, 48, 173, 3846], np.float64(2096.87675), np.int64(120), 4, 'Failure']"
11664,10252,4,"[[11664, 855, 11361, 8301, 7218, 10252], np.float64(0.0018), np.int64(304), 6, 'Success']"
1288,10621,14,"[[1288, 600, 233, 11435, 10621], np.float64(0.23465000000000003), np.int64(144), 5, 'Success']"
12808,8106,472,"[[12808, 12211, 12496, 11840, 8106], np.float64(0.13217), np.int64(160), 5, 'Success']"
9138,1024,2402,"[[9138, 8768, 2, 2654, 600, 1024], np.float64(14.67768), np.int64(282), 6, 'Success']"
6825,8575,17538,"[[6825, 612, 4312, 167, 4792, 4261, 8575], np.float64(3.3150899999999996), np.int64(240), 7, 'Success']"
6670,3764,181688,"[[6670, 6654, 21, 3764], np.float64(74.85736), np.int64(120), 4, 'Success']"
244,8217,3568063,"[[244, 981, 12315, 6064, 6059, 8217], np.float64(4792586.081689999), np.int64(408), 6, 'Failure']"
11578,445,52235382,"[[11578, 59, 175, 445], np.float64(16101.09766), np.int64(88), 4, 'Success']"
6255,2922,4,"[[6255, 21, 2922], np.float64(1.0), np.int64(80), 3, 'Success']"
5350,6203,24,"[[5350, 4822, 3201, 6203], np.float64(1.0750199999999999), np.int64(224), 4, 'Success']"
2803,7638,390,"[[2803, 21, 6274, 7638], np.float64(1.00039), np.int64(224), 4, 'Success']"
9822,9837,1981,"[[9822, 3943, 609, 9837], np.float64(0.20208), np.int64(120), 4, 'Success']"
6367,4878,88551,"[[6367, 12086, 167, 3190, 233, 4878], np.float64(5.32252), np.int64(282), 6, 'Failure']"
3328,1926,168383,"[[3328, 463, 12325, 3778, 216, 1926], np.float64(4.3573699999999995), np.int64(298), 6, 'Failure']"
905,9792,1148648,"[[905, 981, 6030, 6562, 3569, 612, 9792], np.float64(212.06382000000002), np.int64(240), 7, 'Failure']"
167,2584,35829387,"[[167, 57, 175, 78, 3613, 2584], np.float64(9211.30055), np.int64(140), 6, 'Failure']"
5652,2165,4,"[[5652, 32, 2, 2081, 2165], np.float64(1.014), np.int64(236), 5, 'Success']"
5999,12800,12,"[[5999, 855, 12325, 12799, 12800], np.float64(0.00241), np.int64(154), 5, 'Success']"
501,6559,678,"[[501, 167, 11837, 314, 6559], np.float64(1.00268), np.int64(242), 5, 'Success']"
13055,3701,2764,"[[13055, 12325, 10339, 167, 3701], np.float64(0.27915999999999996), np.int64(132), 5, 'Success']"
4379,3184,23351,"[[4379, 5916, 3184], np.float64(0.23351), np.int64(80), 3, 'Success']"
4353,4346,855373,"[[4353, 3941, 4346], np.float64(2413.84011), np.int64(61), 3, 'Failure']"
3249,410,3594186,"[[3249, 50, 177, 796, 410], np.float64(204.52467), np.int64(138), 5, 'Failure']"
52,494,22816558,"[[52, 173, 174, 507, 494], np.float64(6323.71522), np.int64(116), 5, 'Failure']"
11626,4455,5,"[[11626, 53, 60, 3083, 4455], np.float64(2.25027), np.int64(242), 5, 'Success']"
4498,12140,39,"[[4498, 855, 6010, 600, 4374, 12140], np.float64(1.1280599999999998), np.int64(200), 6, 'Failure']"
8077,3426,366,"[[8077, 855, 6693, 3083, 3426], np.float64(0.0732), np.int64(264), 5, 'Success']"
6392,4669,5398,"[[6392, 6722, 5965, 3083, 4669], np.float64(0.23211), np.int64(264), 5, 'Success']"
6591,1084,93146,"[[6591, 32, 2, 8683, 1084], np.float64(48.48035), np.int64(242), 5, 'Failure']"
8346,672,218695,"[[8346, 6562, 3974, 3292, 672], np.float64(45.17863), np.int64(140), 5, 'Failure']"
5326,6429,1777837,"[[5326, 148, 233, 6429], np.float64(9922.603780000001), np.int64(114), 4, 'Failure']"
148,6262,24927583,"[[148, 177, 70, 6262], np.float64(1373.26706), np.int64(98), 4, 'Failure']"
5707,4848,4,"[[5707, 4822, 6079, 4848], np.float64(0.012), np.int64(224), 4, 'Success']"
12174,2858,54,"[[12174, 2055, 2232, 1139, 2858], np.float64(1.16736), np.int64(154), 5, 'Success']"
6291,5957,652,"[[6291, 6274, 36, 12325, 6200, 2232, 1139, 3388, 5957], np.float64(35.328089999999996), np.int64(450), 9, 'Success']"
12962,1512,5234,"[[12962, 167, 6876, 855, 11741, 1512], np.float64(5.76882), np.int64(190), 6, 'Success']"
6200,562,33959,"[[6200, 60, 173, 64, 562], np.float64(4.11774), np.int64(116), 5, 'Failure']"
