Source,Target,Amount,LND1,LND2: c/300000.0,LND2: c/10.0
10224,1448,50,"[[10224, 6274, 108, 78, 1448], 18.26018, 244, 5, 'Success']","[[10224, 6274, 64, 175, 78, 1448], 18.22607, 260, 6, 'Success']","[[10224, 6274, 64, 175, 78, 1448], 18.22607, 260, 6, 'Success']"
4589,5367,819,"[[4589, 3083, 2706, 609, 5367], 2.5391500000000002, 264, 5, 'Success']","[[4589, 3083, 2706, 609, 5367], 2.5391500000000002, 264, 5, 'Success']","[[4589, 3083, 2706, 609, 5367], 2.5391500000000002, 264, 5, 'Success']"
6399,9575,7533,"[[6399, 5039, 2, 612, 9575], 1.76093, 138, 5, 'Success']","[[6399, 5039, 2, 612, 9575], 1.76093, 138, 5, 'Success']","[[6399, 5039, 2, 612, 9575], 1.76093, 138, 5, 'Success']"
918,336,75848,"[[918, 18, 62, 336], 26.762430000000002, 224, 4, 'Success']","[[918, 6020, 175, 62, 336], 25.68656, 138, 5, 'Success']","[[918, 6020, 175, 62, 336], 25.68656, 138, 5, 'Success']"
8258,5136,625057,"[[8258, 7035, 4789, 12157, 5199, 5136], 95.13789, 190, 6, 'Success']","[[8258, 7035, 4789, 7011, 4433, 18, 3868, 6720, 3674, 5199, 5136], 58.00577, 390, 11, 'Success']","[[8258, 7035, 4789, 7011, 4433, 18, 3868, 6720, 3674, 5199, 5136], 58.00577, 390, 11, 'Success']"
312,2177,1451036,,,
3919,3639,12329246,"[[3919, 3134, 66, 173, 3639], 3146.3438, 132, 5, 'Success']","[[3919, 3134, 445, 177, 173, 3639], 1002.93695, 172, 6, 'Success']","[[3919, 3134, 445, 177, 173, 3639], 1002.93695, 172, 6, 'Success']"
3669,4043,10,"[[3669, 12410, 609, 4043], 0.50101, 120, 4, 'Success']","[[3669, 12410, 609, 3514, 4043], 0.50022, 160, 5, 'Success']","[[3669, 12410, 609, 3514, 4043], 0.50022, 160, 5, 'Success']"
7090,5104,97,"[[7090, 6274, 2, 32, 5104], 1.3425500000000001, 346, 5, 'Success']","[[7090, 6274, 2, 32, 5104], 1.3425500000000001, 346, 5, 'Success']","[[7090, 6274, 2, 32, 5104], 1.3425500000000001, 346, 5, 'Success']"
11674,5879,285,"[[11674, 563, 21, 5879], 2.00058, 120, 4, 'Success']","[[11674, 41, 2, 36, 609, 19, 21, 5879], 1.0635, 268, 8, 'Success']","[[11674, 41, 2, 36, 609, 19, 21, 5879], 1.0635, 268, 8, 'Success']"
11533,618,2555,"[[11533, 855, 32, 618], 3.55358, 224, 4, 'Success']","[[11533, 855, 6876, 167, 1229, 618], 0.40115, 190, 6, 'Success']","[[11533, 855, 6876, 167, 1229, 618], 0.40115, 190, 6, 'Success']"
1127,7545,28465,"[[1127, 182, 3281, 6274, 7545], 1.05793, 264, 5, 'Success']","[[1127, 182, 8733, 9416, 2, 6274, 7545], 1.02846, 322, 7, 'Success']","[[1127, 182, 8733, 9416, 2, 6274, 7545], 1.02846, 322, 7, 'Success']"
11356,11531,843618,"[[11356, 50, 51, 11531], 4276.97153, 224, 4, 'Success']","[[11356, 3292, 4312, 167, 8278, 51, 11531], 4230.7857, 314, 7, 'Success']","[[11356, 3292, 4312, 167, 8278, 51, 11531], 4230.7857, 314, 7, 'Success']"
11196,3221,1157795,"[[11196, 233, 3221], 12.00559, 74, 3, 'Success']","[[11196, 233, 5043, 3221], 4.63118, 114, 4, 'Success']","[[11196, 233, 5043, 3221], 4.63118, 114, 4, 'Success']"
2189,10484,51423143,"[[2189, 855, 321, 177, 10484], 13168.15402, 160, 5, 'Success']","[[2189, 855, 321, 177, 10484], 13168.15402, 160, 5, 'Success']","[[2189, 855, 321, 177, 10484], 13168.15402, 160, 5, 'Success']"
4933,7093,8,"[[4933, 4822, 3083, 6274, 7093], 0.0, 472, 5, 'Success']","[[4933, 4822, 3083, 6274, 7093], 0.0, 472, 5, 'Success']","[[4933, 4822, 3083, 6274, 7093], 0.0, 472, 5, 'Success']"
1311,6224,41,"[[1311, 18, 5259, 855, 6224], 1.00824, 160, 5, 'Success']","[[1311, 18, 5259, 855, 6224], 1.00824, 160, 5, 'Success']","[[1311, 18, 5259, 855, 6224], 1.00824, 160, 5, 'Success']"
6770,4383,798,"[[6770, 5355, 36, 3083, 4383], 0.0, 296, 5, 'Success']","[[6770, 5355, 36, 3083, 4383], 0.0, 296, 5, 'Success']","[[6770, 5355, 36, 3083, 4383], 0.0, 296, 5, 'Success']"
3293,9995,9247,"[[3293, 18, 32, 9995], 6.6235, 224, 4, 'Success']","[[3293, 18, 12157, 4816, 3896, 3134, 9995], 2.87715, 240, 7, 'Success']","[[3293, 18, 12157, 4816, 3896, 3134, 9995], 2.87715, 240, 7, 'Success']"
1376,5870,92782,"[[1376, 32, 5963, 5870], 50.91852, 224, 4, 'Success']","[[1376, 32, 5963, 5870], 50.91852, 224, 4, 'Success']","[[1376, 32, 5963, 5870], 50.91852, 224, 4, 'Success']"
4343,11749,178057,"[[4343, 5101, 8168, 10345, 11749], 97.75774999999999, 160, 5, 'Success']","[[4343, 1121, 314, 308, 11837, 12325, 10345, 11749], 89.03049999999999, 438, 8, 'Success']","[[4343, 1121, 314, 308, 11837, 12325, 10345, 11749], 89.03049999999999, 438, 8, 'Success']"
10551,4730,8300218,"[[10551, 383, 2606, 12325, 4730], 1419.47242, 154, 5, 'Success']","[[10551, 383, 131, 9818, 86, 12325, 4730], 202.30563, 234, 7, 'Success']","[[10551, 383, 131, 9818, 86, 12325, 4730], 202.30563, 234, 7, 'Success']"
73,12325,67909156,,,
7155,3145,4,"[[7155, 6274, 36, 634, 3145], 5.031009999999999, 296, 5, 'Success']","[[7155, 6274, 36, 634, 3145], 5.031009999999999, 296, 5, 'Success']","[[7155, 6274, 36, 634, 3145], 5.031009999999999, 296, 5, 'Success']"
